net,length_um
u_aes128_optimized.u_aes_core.shift_rows_out\[123\],156.935µm
_1663_,156.79µm
net416,156.68µm
_1054_,156.46µm
net615,155.87µm
u_aes128_optimized.u_aes_core.state\[4\],155.86µm
net353,155.54µm
net617,155.49µm
_2990_,155.365µm
net125,155.23µm
net181,155.17µm
clknet_leaf_59_clk,154.92µm
net66,154.45µm
net328,154.23µm
net561,154.12µm
u_aes128_optimized.u_aes_core.shift_rows_out\[59\],154.03µm
net3,153.72µm
net393,153.51µm
net342,153.5µm
net212,153.44µm
_1048_,153.37µm
_2589_,152.93µm
net241,152.75µm
_1052_,152.24µm
_1891_,151.96µm
net408,151.45µm
_1194_,151.44µm
net239,151.34µm
net333,151.34µm
_2959_,151.17µm
_1997_,151.03µm
net501,150.855µm
net258,150.42µm
u_aes128_optimized.u_aes_core.round_key_reg\[102\],150.29µm
u_aes128_optimized.u_aes_core.shift_rows_out\[117\],150.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[91\],149.94µm
_1687_,149.69µm
net739,149.6µm
u_aes128_optimized.u_aes_core.shift_rows_out\[125\],149.51µm
_1144_,149.44µm
u_aes128_optimized.u_aes_core.shift_rows_out\[120\],149.39µm
net116,149.28µm
clknet_leaf_80_clk,149.08µm
clknet_leaf_69_clk,148.67µm
net432,148.54µm
net321,148.23µm
u_aes128_optimized.u_aes_core.byte_count\[0\],148.16µm
net590,147.28µm
u_aes128_optimized.u_aes_core.shift_rows_out\[45\],146.94µm
plaintext_reg\[73\],146.06µm
net233,146.04µm
net587,145.82µm
net614,145.65µm
_2396_,145.3µm
plaintext_reg\[77\],145.075µm
_1541_,144.915µm
net95,144.51µm
net179,144.24µm
uo_out[7],144.13µm
clknet_leaf_10_clk,143.98µm
u_aes128_optimized.u_aes_core.shift_rows_out\[84\],143.93µm
net552,143.76µm
_1105_,143.7µm
net483,143.48µm
clknet_4_14__leaf_clk,143.4µm
net73,142.925µm
net571,142.86µm
_2984_,142.84µm
net521,142.84µm
u_aes128_optimized.u_aes_core.round_key_reg\[70\],142.45µm
u_aes128_optimized.u_aes_core.byte_count\[1\],142.37µm
net397,141.905µm
clknet_4_15__leaf_clk,141.87µm
_1112_,141.82µm
clknet_leaf_14_clk,141.72µm
_1811_,141.12µm
_1119_,141.1µm
net155,140.92µm
clknet_leaf_53_clk,140.9µm
net273,140.62µm
net817,140.38µm
net401,140.235µm
net377,140.205µm
net234,140.18µm
net553,140.14µm
net70,140.12µm
_2970_,140.05µm
net514,139.98µm
clknet_leaf_46_clk,139.82µm
uo_out[2],138.89µm
u_aes128_optimized.u_aes_core.shift_rows_out\[102\],138.85µm
u_aes128_optimized.u_aes_core.shift_rows_out\[3\],138.81µm
clknet_leaf_9_clk,138.66µm
_1132_,137.82µm
plaintext_reg\[9\],137.66µm
clknet_leaf_44_clk,137.52µm
_1701_,137.41µm
clknet_leaf_56_clk,137.375µm
u_aes128_optimized.u_aes_core.round_key_reg\[2\],136.93µm
net424,136.86µm
clknet_4_13__leaf_clk,136.76µm
_1644_,136.47µm
net588,136.41µm
clknet_leaf_29_clk,136.38µm
clknet_leaf_25_clk,135.82µm
net618,135.76µm
clknet_leaf_76_clk,135.54µm
clknet_leaf_57_clk,135.43µm
net846,135.38µm
u_aes128_optimized.u_aes_core.shift_rows_out\[27\],135.265µm
net490,135.24µm
clknet_leaf_37_clk,134.82µm
clknet_leaf_55_clk,134.76µm
net216,134.72µm
u_aes128_optimized.u_aes_core.shift_rows_out\[19\],134.63µm
uo_out[1],134.45µm
net451,134.21µm
_1337_,133.91µm
clknet_leaf_74_clk,133.76µm
clknet_leaf_11_clk,133.5µm
clknet_leaf_17_clk,133.22µm
net323,133µm
clknet_leaf_33_clk,132.83µm
clknet_leaf_8_clk,132.78µm
u_aes128_optimized.u_aes_core.shift_rows_out\[124\],132.54µm
clknet_leaf_31_clk,132.125µm
clknet_leaf_67_clk,132µm
net2,131.98µm
clknet_leaf_43_clk,131.78µm
_1762_,131.72µm
u_aes128_optimized.u_aes_core.shift_rows_out\[109\],131.72µm
net472,131.505µm
net498,131.485µm
_2195_,131.34µm
net327,131.34µm
u_aes128_optimized.u_aes_core.shift_rows_out\[126\],131.3µm
_2166_,131.13µm
_2236_,131.12µm
clknet_4_5__leaf_clk,131.055µm
clknet_leaf_26_clk,130.4µm
u_aes128_optimized.u_aes_core.shift_rows_out\[44\],130.19µm
net399,130.11µm
net7,130.08µm
u_aes128_optimized.u_aes_core.round_key_reg\[5\],130.07µm
clknet_leaf_83_clk,129.85µm
net456,129.78µm
net504,129.715µm
clknet_leaf_39_clk,129.24µm
net336,129.12µm
net629,129µm
net78,128.98µm
net269,128.98µm
clknet_leaf_77_clk,128.9µm
net151,128.85µm
u_aes128_optimized.u_aes_core.shift_rows_out\[110\],128.545µm
_1154_,128.28µm
net623,128.14µm
net105,128.065µm
_2141_,127.72µm
net533,127.72µm
clknet_leaf_27_clk,127.7µm
u_aes128_optimized.u_aes_core.shift_rows_out\[90\],127.64µm
_1325_,127.56µm
_1656_,127.47µm
_2500_,127.43µm
u_aes128_optimized.u_aes_core.shift_rows_out\[22\],127.3µm
net128,127.22µm
net409,126.98µm
_1378_,126.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[88\],126.14µm
net227,125.98µm
net478,125.895µm
net343,125.79µm
net352,125.69µm
clknet_leaf_70_clk,125.69µm
_2408_,125.68µm
net196,125.6µm
clknet_leaf_79_clk,125.56µm
net525,125.47µm
clknet_leaf_60_clk,125.38µm
u_aes128_optimized.u_aes_core.shift_rows_out\[20\],124.53µm
clknet_leaf_41_clk,124.5µm
net522,124.48µm
net44,124.29µm
net286,124.12µm
net666,124.11µm
net141,124.1µm
net604,124.095µm
_1140_,123.78µm
net767,123.73µm
clknet_leaf_38_clk,123.55µm
net718,123.44µm
uo_out[5],123.43µm
