Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_623,VPWR,li1,290.0300,223.0400,1.799998
FILLER_80_620,VPWR,li1,288.6500,223.0400,1.799998
FILLER_80_617,VPWR,li1,287.2700,223.0400,1.799998
FILLER_80_613,VPWR,li1,285.4300,223.0400,1.799998
FILLER_80_610,VPWR,li1,284.0500,223.0400,1.799998
FILLER_80_607,VPWR,li1,282.6700,223.0400,1.799998
FILLER_80_604,VPWR,li1,281.2900,223.0400,1.799998
FILLER_80_601,VPWR,li1,279.9100,223.0400,1.799998
FILLER_80_598,VPWR,li1,278.5300,223.0400,1.799998
FILLER_80_595,VPWR,li1,277.1500,223.0400,1.799998
FILLER_80_592,VPWR,li1,275.7700,223.0400,1.799998
FILLER_80_589,VPWR,li1,274.3900,223.0400,1.799998
FILLER_80_561,VPWR,li1,261.0500,223.0400,1.799998
FILLER_80_558,VPWR,li1,259.9000,223.0400,1.799998
FILLER_80_539,VPWR,li1,250.9300,223.0400,1.799999
FILLER_80_536,VPWR,li1,250.0100,223.0400,1.799998
FILLER_80_533,VPWR,li1,248.6300,223.0400,1.799998
FILLER_80_529,VPWR,li1,246.7900,223.0400,1.799998
FILLER_80_526,VPWR,li1,245.4100,223.0400,1.799998
FILLER_80_523,VPWR,li1,244.0300,223.0400,1.799998
FILLER_80_520,VPWR,li1,242.6500,223.0400,1.799998
FILLER_80_517,VPWR,li1,241.2700,223.0400,1.799998
FILLER_80_514,VPWR,li1,239.8900,223.0400,1.799998
FILLER_80_511,VPWR,li1,238.5100,223.0400,1.799998
FILLER_80_508,VPWR,li1,237.1300,223.0400,1.799998
FILLER_80_505,VPWR,li1,235.7500,223.0400,1.799998
FILLER_80_503,VPWR,li1,234.3700,223.0400,1.799998
FILLER_80_500,VPWR,li1,233.4500,223.0400,1.799998
FILLER_80_497,VPWR,li1,232.0700,223.0400,1.799998
FILLER_80_494,VPWR,li1,230.6900,223.0400,1.799998
FILLER_80_480,VPWR,li1,223.7900,223.0400,1.799998
FILLER_80_477,VPWR,li1,222.8700,223.0400,1.799998
FILLER_80_475,VPWR,li1,221.4900,223.0400,1.799998
FILLER_80_472,VPWR,li1,220.5700,223.0400,1.799998
FILLER_80_469,VPWR,li1,219.1900,223.0400,1.799998
FILLER_80_466,VPWR,li1,217.8100,223.0400,1.799998
FILLER_80_463,VPWR,li1,216.4300,223.0400,1.799998
FILLER_80_460,VPWR,li1,215.0500,223.0400,1.799998
FILLER_80_457,VPWR,li1,213.6700,223.0400,1.799998
FILLER_80_454,VPWR,li1,212.2900,223.0400,1.799998
FILLER_80_445,VPWR,li1,208.1500,223.0400,1.799998
FILLER_80_421,VPWR,li1,196.8800,223.0400,1.799996
FILLER_80_418,VPWR,li1,195.5000,223.0400,1.799996
FILLER_80_415,VPWR,li1,194.3500,223.0400,1.799996
FILLER_80_412,VPWR,li1,192.9700,223.0400,1.799996
FILLER_80_409,VPWR,li1,191.5900,223.0400,1.799996
FILLER_80_401,VPWR,li1,187.6800,223.0400,1.799996
FILLER_80_373,VPWR,li1,174.8000,223.0400,1.799997
FILLER_80_340,VPWR,li1,159.3900,223.0400,1.799994
FILLER_80_337,VPWR,li1,158.4700,223.0400,1.799994
FILLER_80_326,VPWR,li1,153.1800,223.0400,1.799994
FILLER_80_309,VPWR,li1,145.1300,223.0400,1.799994
FILLER_80_262,VPWR,li1,123.7400,223.0400,1.799994
FILLER_80_225,VPWR,li1,106.9500,223.0400,1.799996
FILLER_80_197,VPWR,li1,94.0700,223.0400,1.799997
FILLER_80_169,VPWR,li1,80.7300,223.0400,1.799997
FILLER_80_130,VPWR,li1,62.7900,223.0400,1.799998
FILLER_80_125,VPWR,li1,60.7200,223.0400,1.799999
FILLER_80_122,VPWR,li1,59.5700,223.0400,1.799999
FILLER_80_119,VPWR,li1,58.1900,223.0400,1.799999
FILLER_80_116,VPWR,li1,56.8100,223.0400,1.799999
FILLER_80_113,VPWR,li1,55.4300,223.0400,1.799999
FILLER_80_109,VPWR,li1,53.5900,223.0400,1.799999
FILLER_80_106,VPWR,li1,52.2100,223.0400,1.799999
FILLER_80_100,VPWR,li1,49.4500,223.0400,1.799999
FILLER_80_94,VPWR,li1,46.6900,223.0400,1.799999
FILLER_80_88,VPWR,li1,43.9300,223.0400,1.799999
FILLER_80_82,VPWR,li1,40.9400,223.0400,1.799999
FILLER_80_76,VPWR,li1,38.4100,223.0400,1.799999
FILLER_80_70,VPWR,li1,35.6500,223.0400,1.799999
FILLER_80_64,VPWR,li1,32.8900,223.0400,1.800000
FILLER_80_60,VPWR,li1,30.5900,223.0400,1.800000
FILLER_80_57,VPWR,li1,29.6700,223.0400,1.800000
FILLER_80_53,VPWR,li1,27.8300,223.0400,1.800000
FILLER_80_50,VPWR,li1,26.4500,223.0400,1.800000
FILLER_80_47,VPWR,li1,25.0700,223.0400,1.800000
FILLER_80_44,VPWR,li1,23.6900,223.0400,1.800000
FILLER_80_41,VPWR,li1,22.3100,223.0400,1.800000
FILLER_80_38,VPWR,li1,20.9300,223.0400,1.800000
FILLER_80_35,VPWR,li1,19.5500,223.0400,1.800000
FILLER_80_32,VPWR,li1,18.1700,223.0400,1.800000
FILLER_80_29,VPWR,li1,16.7900,223.0400,1.800000
FILLER_80_27,VPWR,li1,15.4100,223.0400,1.800000
FILLER_80_24,VPWR,li1,14.4900,223.0400,1.800000
FILLER_80_21,VPWR,li1,13.1100,223.0400,1.800000
FILLER_80_18,VPWR,li1,11.7300,223.0400,1.800000
FILLER_80_15,VPWR,li1,10.3500,223.0400,1.800000
FILLER_80_12,VPWR,li1,8.9700,223.0400,1.800000
FILLER_80_9,VPWR,li1,7.5900,223.0400,1.800000
FILLER_80_6,VPWR,li1,6.2100,223.0400,1.800000
FILLER_80_3,VPWR,li1,4.8300,223.0400,1.800000
FILLER_79_1466,VPWR,li1,677.8100,217.6000,1.800000
FILLER_79_1463,VPWR,li1,676.4300,217.6000,1.800000
FILLER_79_1460,VPWR,li1,675.0500,217.6000,1.800000
FILLER_79_1457,VPWR,li1,673.6700,217.6000,1.800000
FILLER_79_1455,VPWR,li1,672.2900,217.6000,1.800000
FILLER_79_1452,VPWR,li1,671.3700,217.6000,1.800000
FILLER_79_1449,VPWR,li1,669.9900,217.6000,1.800000
FILLER_79_1446,VPWR,li1,668.6100,217.6000,1.800000
FILLER_79_1443,VPWR,li1,667.2300,217.6000,1.800000
FILLER_79_1440,VPWR,li1,665.8500,217.6000,1.800000
FILLER_79_1437,VPWR,li1,664.4700,217.6000,1.800000
FILLER_79_1434,VPWR,li1,663.0900,217.6000,1.800000
FILLER_79_1431,VPWR,li1,661.7100,217.6000,1.800000
FILLER_79_1428,VPWR,li1,660.3300,217.6000,1.800000
FILLER_79_1425,VPWR,li1,658.9500,217.6000,1.800000
FILLER_79_1422,VPWR,li1,657.5700,217.6000,1.800000
FILLER_79_1419,VPWR,li1,656.1900,217.6000,1.800000
FILLER_79_1416,VPWR,li1,654.8100,217.6000,1.800000
FILLER_79_1413,VPWR,li1,653.4300,217.6000,1.800000
FILLER_79_1410,VPWR,li1,652.0500,217.6000,1.800000
FILLER_79_1407,VPWR,li1,650.6700,217.6000,1.800000
FILLER_79_1404,VPWR,li1,649.2900,217.6000,1.800000
FILLER_79_1401,VPWR,li1,647.9100,217.6000,1.800000
FILLER_79_1399,VPWR,li1,646.5300,217.6000,1.800000
FILLER_79_1396,VPWR,li1,645.6100,217.6000,1.800000
FILLER_79_1393,VPWR,li1,644.2300,217.6000,1.800000
FILLER_79_1390,VPWR,li1,642.8500,217.6000,1.800000
FILLER_79_1387,VPWR,li1,641.4700,217.6000,1.800000
FILLER_79_1384,VPWR,li1,640.0900,217.6000,1.800000
FILLER_79_1381,VPWR,li1,638.7100,217.6000,1.800000
FILLER_79_1378,VPWR,li1,637.3300,217.6000,1.800000
FILLER_79_1375,VPWR,li1,635.9500,217.6000,1.800000
FILLER_79_1372,VPWR,li1,634.5700,217.6000,1.800000
FILLER_79_1369,VPWR,li1,633.1900,217.6000,1.800000
FILLER_79_1366,VPWR,li1,631.8100,217.6000,1.800000
FILLER_79_1363,VPWR,li1,630.4300,217.6000,1.800000
FILLER_79_1360,VPWR,li1,629.0500,217.6000,1.800000
FILLER_79_1357,VPWR,li1,627.6700,217.6000,1.800000
FILLER_79_1354,VPWR,li1,626.2900,217.6000,1.800000
FILLER_79_1351,VPWR,li1,624.9100,217.6000,1.800000
FILLER_79_1348,VPWR,li1,623.5300,217.6000,1.800000
FILLER_79_1345,VPWR,li1,622.1500,217.6000,1.800000
FILLER_79_1343,VPWR,li1,620.7700,217.6000,1.800000
FILLER_79_1340,VPWR,li1,619.8500,217.6000,1.800000
FILLER_79_1337,VPWR,li1,618.4700,217.6000,1.800000
FILLER_79_1334,VPWR,li1,617.0900,217.6000,1.800000
FILLER_79_1331,VPWR,li1,615.7100,217.6000,1.800000
FILLER_79_1328,VPWR,li1,614.3300,217.6000,1.800000
FILLER_79_1325,VPWR,li1,612.9500,217.6000,1.800000
FILLER_79_1322,VPWR,li1,611.5700,217.6000,1.800000
FILLER_79_1319,VPWR,li1,610.1900,217.6000,1.800000
FILLER_79_1316,VPWR,li1,608.8100,217.6000,1.800000
FILLER_79_1313,VPWR,li1,607.4300,217.6000,1.800000
FILLER_79_1310,VPWR,li1,606.0500,217.6000,1.800000
FILLER_79_1307,VPWR,li1,604.6700,217.6000,1.800000
FILLER_79_1304,VPWR,li1,603.2900,217.6000,1.800000
FILLER_79_1301,VPWR,li1,601.9100,217.6000,1.800000
FILLER_79_1298,VPWR,li1,600.5300,217.6000,1.800000
FILLER_79_1295,VPWR,li1,599.1500,217.6000,1.800000
FILLER_79_1292,VPWR,li1,597.7700,217.6000,1.800000
FILLER_79_1289,VPWR,li1,596.3900,217.6000,1.800000
FILLER_79_1287,VPWR,li1,595.0100,217.6000,1.800000
FILLER_79_1284,VPWR,li1,594.0900,217.6000,1.800000
FILLER_79_1281,VPWR,li1,592.7100,217.6000,1.800000
FILLER_79_1278,VPWR,li1,591.3300,217.6000,1.800000
FILLER_79_1275,VPWR,li1,589.9500,217.6000,1.800000
FILLER_79_1272,VPWR,li1,588.5700,217.6000,1.800000
FILLER_79_1269,VPWR,li1,587.1900,217.6000,1.800000
FILLER_79_1266,VPWR,li1,585.8100,217.6000,1.800000
FILLER_79_1263,VPWR,li1,584.4300,217.6000,1.800000
FILLER_79_1260,VPWR,li1,583.0500,217.6000,1.800000
FILLER_79_1257,VPWR,li1,581.6700,217.6000,1.800000
FILLER_79_1254,VPWR,li1,580.2900,217.6000,1.800000
FILLER_79_1251,VPWR,li1,578.9100,217.6000,1.800000
FILLER_79_1248,VPWR,li1,577.5300,217.6000,1.800000
FILLER_79_1245,VPWR,li1,576.1500,217.6000,1.800000
FILLER_79_1242,VPWR,li1,574.7700,217.6000,1.800000
FILLER_79_1239,VPWR,li1,573.3900,217.6000,1.800000
FILLER_79_1236,VPWR,li1,572.0100,217.6000,1.800000
FILLER_79_1233,VPWR,li1,570.6300,217.6000,1.800000
FILLER_79_1231,VPWR,li1,569.2500,217.6000,1.800000
FILLER_79_1228,VPWR,li1,568.3300,217.6000,1.800000
FILLER_79_1225,VPWR,li1,566.9500,217.6000,1.800000
FILLER_79_1222,VPWR,li1,565.5700,217.6000,1.800000
FILLER_79_1219,VPWR,li1,564.1900,217.6000,1.800000
FILLER_79_1216,VPWR,li1,562.8100,217.6000,1.800000
FILLER_79_1213,VPWR,li1,561.4300,217.6000,1.800000
FILLER_79_1210,VPWR,li1,560.0500,217.6000,1.800000
FILLER_79_1207,VPWR,li1,558.6700,217.6000,1.800000
FILLER_79_1204,VPWR,li1,557.2900,217.6000,1.800000
FILLER_79_1201,VPWR,li1,555.9100,217.6000,1.800000
FILLER_79_1198,VPWR,li1,554.5300,217.6000,1.799999
FILLER_79_1195,VPWR,li1,553.1500,217.6000,1.799999
FILLER_79_1192,VPWR,li1,551.7700,217.6000,1.799999
FILLER_79_1189,VPWR,li1,550.3900,217.6000,1.799999
FILLER_79_1186,VPWR,li1,549.0100,217.6000,1.799999
FILLER_79_1183,VPWR,li1,547.6300,217.6000,1.799999
FILLER_79_1180,VPWR,li1,546.2500,217.6000,1.799999
FILLER_79_1177,VPWR,li1,544.8700,217.6000,1.799999
FILLER_79_1175,VPWR,li1,543.4900,217.6000,1.799999
FILLER_79_1172,VPWR,li1,542.5700,217.6000,1.799999
FILLER_79_1169,VPWR,li1,541.1900,217.6000,1.799999
