net,length_um
_1648_,156.37µm
net587,155.94µm
net393,155.77µm
u_aes128_optimized.u_aes_core.shift_rows_out\[123\],155.68µm
net181,155.67µm
net225,155.48µm
_1663_,155.14µm
u_aes128_optimized.u_aes_core.round_key_reg\[26\],154.98µm
net3,154.64µm
_2959_,154.22µm
u_aes128_optimized.u_aes_core.shift_rows_out\[91\],154.11µm
net356,154.1µm
net328,153.78µm
net553,153.48µm
net405,153.44µm
u_aes128_optimized.u_aes_core.round_key_reg\[102\],153.35µm
_2990_,153.255µm
_1052_,153.235µm
_1048_,152.74µm
clknet_leaf_12_clk,152.54µm
u_aes128_optimized.u_aes_core.state\[4\],151.94µm
net116,151.26µm
clknet_leaf_80_clk,151.02µm
net739,150.97µm
_1144_,150.46µm
net321,150.075µm
net462,149.915µm
net432,149.79µm
uo_out[1],149.41µm
_2396_,149.38µm
net333,149.38µm
clknet_leaf_59_clk,149.22µm
u_aes128_optimized.u_aes_core.shift_rows_out\[120\],149.18µm
u_aes128_optimized.u_aes_core.shift_rows_out\[45\],148.56µm
net590,148.51µm
_1891_,148.46µm
net258,148.39µm
uo_out[2],148.07µm
clknet_leaf_14_clk,147.94µm
u_aes128_optimized.u_aes_core.shift_rows_out\[125\],147.6µm
_1194_,147.36µm
net30,147.32µm
net401,147.26µm
net95,146.56µm
_1644_,146.44µm
net156,146.065µm
clknet_leaf_69_clk,145.86µm
net397,145.71µm
u_aes128_optimized.u_aes_core.shift_rows_out\[124\],145.23µm
plaintext_reg\[77\],145.1µm
_1687_,144.95µm
u_aes128_optimized.u_aes_core.shift_rows_out\[117\],144.83µm
net377,144.755µm
net73,144.5µm
net483,144.295µm
net191,144.05µm
clknet_leaf_10_clk,143.98µm
net618,143.96µm
net501,143.905µm
net179,143.9µm
_1105_,143.7µm
u_aes128_optimized.u_aes_core.byte_count\[1\],142.88µm
_2984_,142.84µm
net521,142.84µm
net552,142.76µm
_1112_,142.74µm
_1701_,142.6µm
net155,142.45µm
net614,142.28µm
net273,141.95µm
clknet_4_15__leaf_clk,141.87µm
clknet_leaf_77_clk,141.56µm
_1541_,141.5µm
_1811_,141.12µm
net846,141.12µm
_1119_,141.1µm
clknet_leaf_33_clk,140.88µm
clknet_leaf_53_clk,140.56µm
u_aes128_optimized.u_aes_core.shift_rows_out\[84\],140.48µm
net233,140.4µm
clknet_4_13__leaf_clk,140.4µm
plaintext_reg\[9\],140.04µm
net490,139.44µm
u_aes128_optimized.u_aes_core.shift_rows_out\[19\],139.3µm
_2970_,139.115µm
clknet_4_14__leaf_clk,139.09µm
clknet_leaf_11_clk,138.5µm
net514,138.24µm
clknet_leaf_29_clk,138.2µm
u_aes128_optimized.u_aes_core.shift_rows_out\[27\],138.04µm
_1132_,137.82µm
u_aes128_optimized.u_aes_core.round_key_reg\[70\],137.69µm
net234,137.32µm
clknet_leaf_44_clk,137.14µm
uo_out[7],137.11µm
net327,136.92µm
net571,136.88µm
clknet_leaf_56_clk,136.78µm
plaintext_reg\[73\],136.59µm
clknet_leaf_9_clk,136.52µm
net409,136.5µm
net472,136.235µm
clknet_leaf_46_clk,136.14µm
clknet_leaf_37_clk,135.5µm
net451,135.14µm
clknet_leaf_8_clk,134.62µm
clknet_leaf_67_clk,134.62µm
u_aes128_optimized.u_aes_core.shift_rows_out\[88\],134.55µm
net817,134.33µm
net2,133.88µm
net426,133.85µm
u_aes128_optimized.u_aes_core.shift_rows_out\[102\],133.68µm
net70,133.675µm
u_aes128_optimized.u_aes_core.shift_rows_out\[109\],133.46µm
_1038_,133.34µm
_1337_,133.34µm
clknet_leaf_26_clk,133.25µm
clknet_leaf_55_clk,132.93µm
net78,132.9µm
net456,132.88µm
clknet_leaf_57_clk,132.74µm
u_aes128_optimized.u_aes_core.shift_rows_out\[90\],132.58µm
net352,132.4µm
net588,132.29µm
clknet_leaf_43_clk,132.18µm
clknet_leaf_28_clk,132.05µm
net343,132.04µm
net323,131.98µm
net216,131.96µm
u_aes128_optimized.u_aes_core.round_key_reg\[2\],131.87µm
uo_out[5],131.81µm
clknet_4_5__leaf_clk,131.6µm
_1762_,131.56µm
clknet_leaf_31_clk,131.5µm
net767,131.13µm
clknet_leaf_74_clk,131.06µm
net128,130.9µm
net105,130.785µm
u_aes128_optimized.u_aes_core.shift_rows_out\[46\],130.66µm
u_aes128_optimized.u_aes_core.shift_rows_out\[110\],130.54µm
_1997_,130.53µm
net424,130.46µm
net336,130.4µm
u_aes128_optimized.u_aes_core.shift_rows_out\[3\],130.35µm
_1656_,130.19µm
u_aes128_optimized.u_aes_core.round_key_reg\[5\],130µm
net623,129.96µm
clknet_leaf_83_clk,129.89µm
_2166_,129.52µm
u_aes128_optimized.u_aes_core.shift_rows_out\[126\],129.46µm
_2133_,129.26µm
clknet_leaf_76_clk,129.16µm
clknet_leaf_17_clk,129.12µm
net284,128.96µm
net227,128.94µm
net376,128.91µm
clknet_leaf_27_clk,128.7µm
net286,128.62µm
_2255_,128.44µm
net269,128.38µm
_2236_,128.26µm
u_aes128_optimized.u_aes_core.round_key_reg\[69\],128.05µm
net353,127.69µm
_1115_,127.32µm
_2500_,127.26µm
u_aes128_optimized.u_aes_core.shift_rows_out\[44\],127.18µm
u_aes128_optimized.u_aes_core.shift_rows_out\[22\],127.14µm
net533,127.02µm
net525,126.82µm
_2408_,126.79µm
net504,126.49µm
net399,126.41µm
net28,126.28µm
net522,125.84µm
_1325_,125.82µm
_1378_,125.66µm
_1628_,125.38µm
clknet_leaf_60_clk,125.38µm
_2141_,125.15µm
_1098_,124.96µm
clknet_leaf_39_clk,124.92µm
clknet_leaf_25_clk,124.9µm
net478,124.81µm
_1154_,124.6µm
net196,124.56µm
_2958_,124.485µm
_2053_,124.42µm
net629,124.29µm
clknet_leaf_79_clk,123.98µm
_1140_,123.78µm
net357,123.72µm
net604,123.705µm
net575,123.51µm
net410,123.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[42\],123.425µm
net666,123.12µm
net69,123.1µm
_2402_,122.98µm
clknet_leaf_73_clk,122.5µm
net513,122.255µm
u_aes128_optimized.u_aes_core.shift_rows_out\[20\],122.12µm
net44,122.09µm
net718,121.62µm
_1677_,121.12µm
clknet_leaf_38_clk,120.76µm
net498,120.59µm
net573,120.59µm
_1128_,120.54µm
_2301_,120.24µm
plaintext_reg\[13\],120.14µm
clknet_leaf_78_clk,119.89µm
net151,119.87µm
u_aes128_optimized.u_aes_core.shift_rows_out\[127\],119.86µm
net529,119.71µm
clknet_leaf_84_clk,119.5µm
_2199_,119.42µm
_1743_,119.2µm
net492,119.2µm
_1050_,119.11µm
net446,119.045µm
net459,118.745µm
net461,118.385µm
u_aes128_optimized.u_aes_core.shift_rows_out\[52\],118.155µm
u_aes128_optimized.u_aes_core.shift_rows_out\[107\],118.115µm
_1925_,118.08µm
_2561_,118.07µm
clknet_leaf_70_clk,118.01µm
clknet_leaf_54_clk,117.92µm
clknet_leaf_18_clk,117.4µm
_1605_,117.36µm
clknet_leaf_22_clk,117.08µm
net600,116.895µm
net373,116.87µm
net238,116.78µm
net141,116.67µm
_2195_,116.65µm
u_aes128_optimized.u_aes_core.shift_rows_out\[1\],116.44µm
net780,116.39µm
u_aes128_optimized.u_aes_core.shift_rows_out\[86\],116.36µm
net143,116.3µm
net297,116.3µm
_1986_,116.29µm
net475,116.285µm
_2074_,116.25µm
clknet_leaf_24_clk,116.245µm
clknet_leaf_42_clk,116.19µm
net470,115.99µm
clknet_leaf_13_clk,115.96µm
clknet_leaf_64_clk,115.89µm
_2006_,115.88µm
net175,115.85µm
net210,115.84µm
clknet_leaf_85_clk,115.78µm
u_aes128_optimized.u_aes_core.shift_rows_out\[113\],115.44µm
net355,115.22µm
u_aes128_optimized.u_aes_core.shift_rows_out\[82\],115.12µm
net34,115µm
clknet_leaf_66_clk,114.96µm
u_aes128_optimized.u_aes_core.round_key_reg\[29\],114.84µm
clknet_leaf_15_clk,114.71µm
u_aes128_optimized.u_aes_core.shift_rows_out\[33\],114.68µm
u_aes128_optimized.u_aes_core.shift_rows_out\[118\],114.645µm
_2988_,114.52µm
uo_out[6],114.51µm
net550,114.38µm
_1535_,114.28µm
net398,114.24µm
