Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_2552,VPWR,li1,1177.3700,223.0400,1.800000
FILLER_80_2549,VPWR,li1,1175.9900,223.0400,1.800000
FILLER_80_2545,VPWR,li1,1174.1500,223.0400,1.800000
FILLER_80_2542,VPWR,li1,1172.7700,223.0400,1.800000
FILLER_80_2539,VPWR,li1,1171.3900,223.0400,1.800000
FILLER_80_2536,VPWR,li1,1170.0100,223.0400,1.800000
FILLER_80_2533,VPWR,li1,1168.6300,223.0400,1.800000
FILLER_80_2530,VPWR,li1,1167.2500,223.0400,1.800000
FILLER_80_2527,VPWR,li1,1165.8700,223.0400,1.800000
FILLER_80_2524,VPWR,li1,1164.4900,223.0400,1.800000
FILLER_80_2521,VPWR,li1,1163.1100,223.0400,1.800000
FILLER_80_2517,VPWR,li1,1161.2700,223.0400,1.800000
FILLER_80_2514,VPWR,li1,1159.8900,223.0400,1.800000
FILLER_80_2511,VPWR,li1,1158.5100,223.0400,1.800000
FILLER_80_2508,VPWR,li1,1157.1300,223.0400,1.800000
FILLER_80_2505,VPWR,li1,1155.7500,223.0400,1.800000
FILLER_80_2502,VPWR,li1,1154.3700,223.0400,1.800000
FILLER_80_2499,VPWR,li1,1152.9900,223.0400,1.800000
FILLER_80_2496,VPWR,li1,1151.6100,223.0400,1.800000
FILLER_80_2493,VPWR,li1,1150.2300,223.0400,1.800000
FILLER_80_2489,VPWR,li1,1148.3900,223.0400,1.800000
FILLER_80_2486,VPWR,li1,1147.0100,223.0400,1.800000
FILLER_80_2483,VPWR,li1,1145.6300,223.0400,1.800000
FILLER_80_2480,VPWR,li1,1144.2500,223.0400,1.800000
FILLER_80_2477,VPWR,li1,1142.8700,223.0400,1.800000
FILLER_80_2474,VPWR,li1,1141.4900,223.0400,1.800000
FILLER_80_2471,VPWR,li1,1140.1100,223.0400,1.800000
FILLER_80_2468,VPWR,li1,1138.7300,223.0400,1.800000
FILLER_80_2465,VPWR,li1,1137.3500,223.0400,1.800000
FILLER_80_2461,VPWR,li1,1135.5100,223.0400,1.800000
FILLER_80_2458,VPWR,li1,1134.1300,223.0400,1.800000
