net,length_um
net635,240.86µm
net270,240.67µm
net722,240.59µm
net736,240.485µm
_01723_,240.33µm
_01347_,240.3µm
net5,239.58µm
net6,239.22µm
net1158,239.01µm
u_aes128_baseline.u_aes_core.state_reg\[44\],238.76µm
_03260_,238.73µm
net433,238.52µm
_07580_,238.5µm
clknet_leaf_27_clk,238.41µm
_04758_,237.95µm
net773,237.845µm
_09320_,237.84µm
net41,237.72µm
_09097_,237.56µm
_02165_,237.07µm
ciphertext_reg\[123\],237µm
ciphertext_reg\[112\],236.82µm
net9,236.82µm
_01254_,236.46µm
_08957_,236.2µm
net1678,236.14µm
net684,235.745µm
net1568,235.26µm
_06416_,235.11µm
net247,234.91µm
net194,234.835µm
net1063,234.76µm
net1404,234.67µm
_04256_,234.28µm
_03689_,233.92µm
_00832_,233.9µm
_04669_,233.84µm
_04381_,233.75µm
net387,233.695µm
ciphertext_reg\[5\],233.65µm
net1351,233.42µm
_07476_,232.83µm
net528,232.72µm
_09330_,232.62µm
plaintext_reg\[51\],231.82µm
net498,231.66µm
net1615,231.49µm
net765,231.45µm
u_aes128_baseline.u_aes_core.state_reg\[92\],231.34µm
net1729,231.18µm
_03661_,230.96µm
_06262_,230.91µm
_03249_,230.845µm
ciphertext_reg\[67\],230.74µm
_04728_,230.51µm
net544,230.505µm
net191,230.485µm
_08365_,230.44µm
plaintext_reg\[96\],230.42µm
net812,230.42µm
_01988_,230.16µm
_08020_,230.105µm
net216,230.065µm
key_reg\[103\],229.445µm
net905,229.38µm
net665,229.19µm
net921,229.13µm
net93,229µm
net232,228.855µm
net435,228.82µm
_04761_,228.65µm
net398,228.165µm
net535,227.81µm
_00859_,227.72µm
net759,227.68µm
net2012,227.45µm
net872,227.44µm
_03526_,227.28µm
net491,227.26µm
net698,226.82µm
_04663_,226.615µm
_06710_,226.36µm
_03494_,226.24µm
net1584,226.235µm
net167,226.22µm
u_aes128_baseline.u_aes_core.round_key_reg\[1\],226.03µm
_07655_,225.995µm
_06063_,225.84µm
net525,225.59µm
_08548_,225.5µm
net640,225.45µm
_04665_,225.325µm
_03281_,225.195µm
_01902_,225.16µm
net1625,225.05µm
net1870,224.78µm
_04782_,224.75µm
net1626,224.575µm
net1436,224.51µm
_05906_,224.48µm
net895,224.13µm
net886,223.78µm
u_aes128_baseline.u_aes_core.state_reg\[120\],223.67µm
net227,223.66µm
u_aes128_baseline.u_aes_core.round_key_reg\[30\],223.64µm
net362,223.52µm
_04644_,223.28µm
_09219_,222.98µm
_05970_,222.81µm
net846,222.74µm
net660,222.59µm
net201,222.575µm
u_aes128_baseline.u_aes_core.state_reg\[103\],222.5µm
_06012_,222.48µm
net460,222.42µm
clknet_leaf_61_clk,222.04µm
_04650_,221.545µm
net1679,221.35µm
_03673_,221.335µm
_04862_,221.21µm
_03778_,221.055µm
_06277_,221.04µm
_01624_,220.995µm
_07873_,220.94µm
_01288_,220.91µm
net432,220.755µm
net467,220.69µm
_01711_,220.58µm
_02898_,220.16µm
_01324_,220.07µm
net659,219.985µm
net1758,219.41µm
_01464_,219.21µm
net66,219.16µm
_07354_,218.92µm
net2076,218.91µm
net958,218.68µm
net724,218.66µm
net427,218.53µm
net1985,218.37µm
_01294_,218.115µm
net28,217.94µm
net10,217.88µm
_08009_,217.76µm
_01527_,217.63µm
net1681,217.62µm
_04647_,217.46µm
net824,217.31µm
net241,217.28µm
_09296_,217.24µm
net711,217.19µm
net868,217.19µm
_05308_,217.12µm
net589,217.04µm
net1599,216.895µm
net116,216.88µm
net138,216.79µm
_04783_,216.45µm
_01374_,216.1µm
_07918_,215.98µm
_01945_,215.94µm
_02963_,215.58µm
net396,215.56µm
_01674_,215.29µm
_07995_,215.265µm
net253,215.23µm
net881,215.22µm
_06285_,214.59µm
_06108_,214.58µm
_05016_,214.5µm
ciphertext_reg\[124\],214.48µm
_07036_,214.46µm
net361,214.32µm
net805,214.27µm
_01336_,214.25µm
net836,214.22µm
net553,214.19µm
net468,213.87µm
_03665_,213.785µm
ciphertext_reg\[24\],213.78µm
net1059,213.72µm
_01246_,213.66µm
key_reg\[29\],213.46µm
net1447,213.46µm
net649,213.235µm
net274,213.125µm
_02270_,212.975µm
net490,212.875µm
net249,212.86µm
net469,212.81µm
_06167_,212.77µm
net88,212.74µm
net1589,212.725µm
net27,212.48µm
_04520_,212.34µm
_01996_,212.17µm
_03700_,212.13µm
_04763_,212.01µm
net357,212µm
net869,211.92µm
_07908_,211.77µm
_01264_,211.72µm
u_aes128_baseline.u_aes_core.round_key_reg\[4\],211.62µm
_09065_,211.12µm
net342,211.105µm
net741,210.82µm
_07945_,210.68µm
_07996_,210.675µm
net358,210.48µm
_01740_,210.39µm
_04794_,210.18µm
net258,210.14µm
net87,209.76µm
net454,209.69µm
net806,209.65µm
net683,209.35µm
ciphertext_reg\[51\],209.26µm
_07853_,208.72µm
net548,208.64µm
_05162_,208.62µm
_06259_,208.08µm
ciphertext_reg\[1\],208.04µm
_01052_,207.9µm
net667,207.88µm
ciphertext_wire\[121\],207.56µm
net526,207.51µm
net513,207.24µm
_06271_,206.84µm
net7,206.84µm
clknet_leaf_13_clk,206.79µm
net892,206.7µm
net181,206.69µm
net230,206.56µm
_01273_,206.45µm
net412,206.425µm
clknet_leaf_39_clk,206.38µm
net219,206.355µm
_07766_,206.34µm
_01463_,206.275µm
net1630,206.21µm
_02004_,206.16µm
net692,206.08µm
net368,205.85µm
_02070_,205.81µm
_05933_,205.66µm
net735,205.45µm
net703,205.44µm
net505,205.08µm
net551,204.935µm
net2011,204.9µm
net1916,204.57µm
net188,204.31µm
_01722_,204.255µm
_04675_,204.21µm
_01040_,204.15µm
net511,204.07µm
net1728,203.83µm
net1532,203.71µm
ciphertext_reg\[105\],203.7µm
u_aes128_baseline.u_aes_core.state_reg\[30\],203.62µm
net1806,203.62µm
u_aes128_baseline.u_aes_core.round_key_reg\[25\],203.185µm
net349,203.155µm
u_aes128_baseline.u_aes_core.state_reg\[111\],203.05µm
ciphertext_reg\[0\],203.04µm
net705,203.005µm
net510,202.82µm
_01481_,202.81µm
ciphertext_reg\[115\],202.63µm
net798,202.605µm
ciphertext_wire\[122\],202.29µm
plaintext_reg\[37\],202.23µm
_08328_,202.16µm
u_aes128_baseline.u_aes_core.state_reg\[38\],201.82µm
_04091_,201.755µm
net415,201.745µm
net245,201.62µm
_08011_,201.3µm
net344,201.28µm
net337,201.1µm
net1823,201.06µm
_07679_,200.97µm
_04829_,200.745µm
net400,200.745µm
net1205,200.49µm
net960,200.45µm
_03415_,200.24µm
_08610_,200.24µm
_05955_,200.22µm
_01983_,200.13µm
net1435,200.06µm
u_aes128_baseline.u_aes_core.round_key_reg\[3\],199.92µm
_04092_,199.91µm
_04765_,199.82µm
net418,199.775µm
net447,199.77µm
net479,199.77µm
_01956_,199.71µm
_04711_,199.58µm
_07793_,199.48µm
_03267_,199.385µm
_02645_,199.38µm
u_aes128_baseline.u_aes_core.state_reg\[23\],199.175µm
net1902,199.13µm
net1343,198.73µm
net1380,198.73µm
_03948_,198.54µm
_07843_,198.54µm
_04090_,198.5µm
net244,198.44µm
net251,198.28µm
_05624_,198.22µm
net875,198.17µm
net411,198.03µm
net377,197.77µm
net407,197.665µm
_05439_,197.65µm
net26,197.48µm
_08068_,197.445µm
net655,197.37µm
net532,197.34µm
net1052,197.32µm
_04681_,197.29µm
net515,197.24µm
plaintext_reg\[41\],197.16µm
_06040_,197.07µm
_03314_,196.81µm
net630,196.66µm
_01227_,196.65µm
net464,196.58µm
net866,196.56µm
net1533,196.48µm
_04165_,196.35µm
_04199_,196.31µm
_04562_,196.3µm
ciphertext_reg\[107\],196.08µm
_01808_,196.05µm
net963,195.825µm
net873,195.68µm
u_aes128_baseline.u_aes_core.round_key_reg\[0\],195.66µm
net319,195.62µm
net1360,195.49µm
_06144_,195.485µm
_09236_,195.47µm
_04550_,195.27µm
_01632_,194.87µm
net1847,194.85µm
net1582,194.64µm
_01381_,194.44µm
net1355,194.3µm
net861,194.23µm
net1629,193.88µm
_06786_,193.87µm
net341,193.8µm
net482,193.68µm
net625,193.625µm
_01716_,193.615µm
_01240_,193.54µm
net213,193.47µm
net484,193.38µm
net1044,193.36µm
net771,193.32µm
net627,193.315µm
net364,193.3µm
net1775,193.25µm
_09112_,193.2µm
_06168_,193.005µm
net718,192.82µm
net30,192.7µm
net1981,192.24µm
net1824,191.86µm
net206,191.845µm
_01249_,191.82µm
net809,191.65µm
clknet_leaf_57_clk,191.46µm
net811,191.42µm
net294,191.39µm
clknet_leaf_26_clk,191.34µm
_04106_,191.305µm
net115,191.28µm
net392,191.2µm
net466,191.06µm
_01368_,190.96µm
ciphertext_reg\[52\],190.96µm
_01994_,190.9µm
_04154_,190.82µm
net1354,190.74µm
net1808,190.74µm
net238,190.39µm
net386,190.285µm
net664,190.285µm
_01245_,190.28µm
_05019_,190.12µm
_06054_,190.12µm
net1579,189.94µm
_02661_,189.67µm
net193,189.48µm
net835,189.41µm
_01326_,189.285µm
net475,189.28µm
net894,189.26µm
_06188_,189.15µm
net1704,188.815µm
net757,188.62µm
_06630_,188.56µm
_03684_,188.48µm
net1255,188.46µm
net732,188.445µm
_07415_,188.42µm
net1058,188.42µm
_01329_,188.265µm
net1296,188.11µm
net140,187.98µm
_07650_,187.95µm
net700,187.6µm
_01485_,187.53µm
net620,187.435µm
net234,187.42µm
_01310_,187.26µm
_01267_,187.24µm
u_aes128_baseline.u_aes_core.state_reg\[47\],187.24µm
net248,187.12µm
_01889_,186.935µm
_09069_,186.88µm
_01650_,186.7µm
_03171_,186.57µm
net196,186.515µm
net545,186.435µm
net1161,186.43µm
net1520,186.43µm
net489,186.23µm
net713,186.05µm
_08744_,185.96µm
_08069_,185.935µm
net291,185.615µm
_06388_,185.54µm
_09108_,185.47µm
_06424_,185.46µm
net1929,185.45µm
net1209,185.43µm
_06387_,185.16µm
ciphertext_reg\[92\],185.08µm
ciphertext_reg\[126\],184.92µm
_01505_,184.88µm
net187,184.84µm
_01483_,184.83µm
net272,184.83µm
net1539,184.72µm
net458,184.42µm
net149,184.28µm
net281,184.21µm
net1302,184.18µm
net825,184.07µm
net1007,184.03µm
_09020_,183.92µm
_03997_,183.88µm
_09284_,183.8µm
_02058_,183.53µm
net2043,183.42µm
_06164_,183.365µm
net271,183.31µm
net897,183.275µm
net1126,183.2µm
net1193,183.19µm
net859,183.02µm
_03683_,182.97µm
_01786_,182.93µm
_03670_,182.87µm
_09353_,182.84µm
net697,182.8µm
net155,182.73µm
_01614_,182.575µm
_01865_,182.49µm
_06426_,182.44µm
net676,182.34µm
net231,182.32µm
_08194_,182.235µm
net557,182.13µm
net902,182.11µm
_01232_,182.03µm
net1232,181.86µm
_01705_,181.7µm
net1530,181.61µm
_01623_,181.57µm
net1290,181.4µm
net1050,181.34µm
net1815,181.23µm
_06551_,181.22µm
ciphertext_reg\[59\],181.14µm
net36,181.08µm
_06041_,181.05µm
_02039_,181.015µm
net416,180.975µm
_07200_,180.92µm
_04539_,180.87µm
ciphertext_reg\[116\],180.82µm
net999,180.69µm
net1476,180.65µm
net770,180.55µm
net365,180.54µm
net527,180.43µm
ciphertext_reg\[65\],180.18µm
net185,180.17µm
_04729_,180.16µm
net706,180.14µm
net1356,180.13µm
net688,180.06µm
net239,179.88µm
net110,179.81µm
net496,179.665µm
net436,179.63µm
net380,179.62µm
net542,179.62µm
_01984_,179.585µm
net1773,179.49µm
_06078_,179.44µm
net574,179.375µm
net430,179.34µm
_07734_,179.26µm
net203,179.1µm
net623,179.085µm
net823,178.98µm
net1104,178.98µm
_04889_,178.88µm
_01317_,178.82µm
_03660_,178.7µm
net394,178.54µm
net983,178.53µm
net1253,178.52µm
net1105,178.5µm
_07912_,178.49µm
net477,178.485µm
_06260_,178.45µm
net767,178.32µm
_02040_,178.295µm
net1294,178.29µm
net891,178.2µm
net1097,178.18µm
ciphertext_reg\[125\],177.95µm
net367,177.72µm
key_reg\[31\],177.71µm
net1005,177.56µm
net807,177.54µm
_03695_,177.48µm
_04094_,177.34µm
_07851_,177.265µm
_06414_,177.255µm
_06819_,177.24µm
net877,177.19µm
_09178_,177.18µm
net242,177.12µm
net1801,177.095µm
_06333_,177.07µm
net209,177.035µm
net654,176.99µm
net343,176.95µm
net108,176.94µm
clknet_leaf_19_clk,176.94µm
net804,176.93µm
net1488,176.83µm
_06284_,176.755µm
_04252_,176.68µm
net1761,176.55µm
_01247_,176.54µm
net761,176.53µm
_06261_,176.52µm
_02087_,176.4µm
_06072_,176.4µm
net1206,176.275µm
net808,176.26µm
_04131_,176.21µm
