net,length_um
net959,170.79µm
net31,170.76µm
net1530,170.62µm
_09342_,170.54µm
net1113,170.54µm
net325,170.53µm
net157,170.51µm
net650,170.48µm
net231,170.145µm
_06072_,170.12µm
ready_wire,169.94µm
net260,169.93µm
_07625_,169.87µm
net1350,169.855µm
_02435_,169.84µm
clknet_leaf_7_clk,169.71µm
_07798_,169.7µm
_05061_,169.62µm
_04896_,169.36µm
net1097,169.29µm
net628,169.26µm
clknet_leaf_6_clk,169.26µm
_03204_,169.14µm
net1869,169.14µm
_01739_,169.04µm
_01333_,168.98µm
net1780,168.82µm
net1112,168.66µm
net1290,168.66µm
ciphertext_reg\[120\],168.62µm
net808,168.48µm
_03690_,168.28µm
_01268_,168.24µm
_01214_,168.2µm
net709,168.19µm
net369,168.135µm
net1076,168.08µm
u_aes128_baseline.u_aes_core.state_reg\[97\],167.98µm
net111,167.89µm
_01714_,167.84µm
clknet_leaf_60_clk,167.84µm
_04914_,167.66µm
net473,167.515µm
net492,167.425µm
net169,167.39µm
net743,167.35µm
net1243,167.315µm
ciphertext_reg\[100\],167.265µm
net740,167.245µm
net1276,167.22µm
net399,167.2µm
_01745_,167.18µm
_07994_,167.12µm
net172,167.05µm
clknet_leaf_3_clk,167µm
clknet_leaf_22_clk,166.84µm
_01885_,166.83µm
net933,166.81µm
net761,166.8µm
net390,166.795µm
net365,166.74µm
net1294,166.7µm
_04587_,166.68µm
ciphertext_reg\[65\],166.54µm
net402,166.54µm
net1287,166.515µm
_06132_,166.48µm
net1731,166.4µm
_01299_,166.39µm
ciphertext_reg\[84\],166.34µm
net487,166.185µm
net378,166.06µm
_01712_,166.005µm
net1047,165.99µm
net182,165.95µm
net680,165.85µm
_09260_,165.76µm
_04252_,165.58µm
net968,165.575µm
_06145_,165.43µm
net904,165.42µm
net34,165.38µm
net653,165.28µm
net1390,165.16µm
net1481,165.1µm
net205,164.98µm
_03681_,164.94µm
net338,164.905µm
net331,164.81µm
_01331_,164.78µm
net670,164.76µm
net263,164.73µm
net1102,164.63µm
net827,164.62µm
net1566,164.56µm
_01651_,164.465µm
_03674_,164.435µm
net1335,164.42µm
net780,164.215µm
net804,164.16µm
_00827_,164.02µm
_01513_,163.96µm
net1734,163.94µm
net682,163.9µm
net1610,163.84µm
u_aes128_baseline.u_aes_core.round_key_reg\[29\],163.81µm
_03677_,163.79µm
net788,163.77µm
net1396,163.76µm
net644,163.625µm
net1208,163.54µm
_07893_,163.45µm
net340,163.35µm
net721,163.225µm
_07630_,163.15µm
net887,162.84µm
_01721_,162.76µm
